transaction_id,transaction_date,merchant,payment_gateway,payment_method,amount,status,failure_reason,gateway_fee,settlement_amount,settlement_date,reconciliation_status
30,2026-03-18,QuickMart,Stripe,UPI,1112.62,FAILED,Limit exceeded,21.28,0,,NOT_APPLICABLE
31,2026-03-16,StyleKart,Stripe,NetBanking,8958.34,SUCCESS,,170.39,8787.95,2026-03-16,RECONCILED
32,2026-01-31,MediPlus,PayU,Wallet,4057.66,SUCCESS,,39.53,4018.13,2026-01-31,UNRECONCILED
33,2026-03-14,QuickMart,Cashfree,NetBanking,14941.84,SUCCESS,,104.4,14837.44,2026-03-15,RECONCILED
34,2026-02-17,FoodHub,PayU,UPI,4346.31,SUCCESS,,65.27,4281.04,2026-02-19,RECONCILED
35,2026-01-18,StyleKart,Cashfree,NetBanking,4040.54,FAILED,Bank timeout,37.28,0,,NOT_APPLICABLE
36,2026-01-27,FoodHub,Stripe,NetBanking,10343.71,FAILED,Insufficient funds,192.19,0,,NOT_APPLICABLE
37,2026-03-23,QuickMart,Razorpay,NetBanking,6411.28,SUCCESS,,106.21,6305.07,2026-03-25,RECONCILED
38,2026-02-26,MediPlus,Razorpay,UPI,8320.04,SUCCESS,,50.99,8269.05,2026-02-28,RECONCILED
39,2026-01-05,FoodHub,Cashfree,Wallet,12535.47,SUCCESS,,86.64,12448.83,2026-01-06,RECONCILED
40,2026-02-15,QuickMart,Razorpay,NetBanking,3230.14,SUCCESS,,53.95,3176.19,2026-02-16,RECONCILED
41,2026-01-31,TravelNow,Cashfree,Wallet,12982.62,PENDING,Invalid credentials,69.74,0,,NOT_APPLICABLE
42,2026-03-27,FoodHub,PayU,Card,12974.55,SUCCESS,,218.11,12756.44,2026-03-27,RECONCILED
43,2026-03-02,QuickMart,Stripe,NetBanking,3414.26,SUCCESS,,32.7,3381.56,2026-03-02,RECONCILED
44,2026-02-21,MediPlus,PayU,NetBanking,4991.1,FAILED,Technical error,72.98,0,,NOT_APPLICABLE
45,2026-02-12,MediPlus,PayU,Card,14094.63,SUCCESS,,193.22,13901.41,2026-02-13,RECONCILED
46,2026-02-25,FoodHub,Stripe,UPI,5250.74,SUCCESS,,56.59,5194.15,2026-02-27,RECONCILED
47,2026-02-25,MediPlus,Cashfree,NetBanking,125.2,FAILED,Invalid credentials,1.44,0,,NOT_APPLICABLE
48,2026-02-10,StyleKart,PayU,NetBanking,9984.47,SUCCESS,,149.8,9834.67,2026-02-11,RECONCILED
49,2026-03-12,FoodHub,Stripe,Card,1996.59,SUCCESS,,28.42,1968.17,2026-03-13,RECONCILED
50,2026-02-08,TravelNow,PayU,Wallet,4375.01,SUCCESS,,50.87,4324.14,2026-02-10,RECONCILED
51,2026-01-22,QuickMart,PayU,UPI,9916.88,SUCCESS,,171.33,9745.55,2026-01-22,RECONCILED
52,2026-01-26,TravelNow,Stripe,UPI,2295.57,SUCCESS,,27.16,2268.41,2026-01-28,RECONCILED
53,2026-03-05,MediPlus,Razorpay,UPI,6054.83,SUCCESS,,100.97,5953.86,2026-03-05,RECONCILED
54,2026-03-01,MediPlus,Razorpay,Wallet,848.25,SUCCESS,,5.94,842.31,2026-03-02,RECONCILED
55,2026-03-18,QuickMart,Stripe,Wallet,4827.74,SUCCESS,,84.29,4743.45,2026-03-20,RECONCILED
56,2026-03-02,StyleKart,PayU,Wallet,6806.04,SUCCESS,,98.02,6708.02,2026-03-03,RECONCILED
57,2026-01-31,QuickMart,Razorpay,Card,4148.56,SUCCESS,,30.13,4118.43,2026-02-01,RECONCILED
58,2026-01-09,MediPlus,Stripe,Wallet,6281.53,SUCCESS,,37.27,6244.26,2026-01-10,RECONCILED
59,2026-03-31,StyleKart,Stripe,Wallet,391.03,FAILED,Invalid credentials,1.99,0,,NOT_APPLICABLE
60,2026-02-19,TravelNow,Stripe,Card,12816.37,PENDING,Invalid credentials,157.94,0,,NOT_APPLICABLE
61,2026-03-04,MediPlus,Stripe,Card,532.47,SUCCESS,,9.38,523.09,2026-03-04,RECONCILED
62,2026-01-04,QuickMart,Razorpay,UPI,13613.24,SUCCESS,,199.31,13413.93,2026-01-04,RECONCILED
63,2026-01-07,TravelNow,Stripe,NetBanking,3976.33,SUCCESS,,40.01,3936.32,2026-01-08,RECONCILED
64,2026-02-02,FoodHub,Razorpay,NetBanking,12540.17,SUCCESS,,104.88,12435.29,2026-02-02,RECONCILED
65,2026-01-04,MediPlus,Razorpay,Card,14249.21,SUCCESS,,122.23,14126.98,2026-01-05,RECONCILED
66,2026-01-28,QuickMart,PayU,Card,7029.01,SUCCESS,,99.03,6929.98,2026-01-30,RECONCILED
67,2026-02-09,MediPlus,PayU,Wallet,1710.67,SUCCESS,,18.73,1691.94,2026-02-11,RECONCILED
68,2026-03-30,StyleKart,PayU,UPI,12475.52,SUCCESS,,211.38,12264.14,2026-04-01,RECONCILED
69,2026-03-10,StyleKart,PayU,UPI,6482.83,SUCCESS,,115.03,6367.8,2026-03-11,RECONCILED
70,2026-03-23,StyleKart,Cashfree,Wallet,13384.47,SUCCESS,,102.28,13282.19,2026-03-25,RECONCILED
71,2026-03-20,StyleKart,Stripe,Wallet,12142.17,SUCCESS,,140.04,12002.13,2026-03-22,RECONCILED
72,2026-02-01,TravelNow,Stripe,Card,12477.89,SUCCESS,,202.85,12275.04,2026-02-03,RECONCILED
73,2026-02-13,StyleKart,Cashfree,Wallet,527.63,FAILED,Invalid credentials,4.32,0,,NOT_APPLICABLE
74,2026-02-05,TravelNow,PayU,UPI,13216.77,SUCCESS,,168.51,13048.26,2026-02-05,RECONCILED
75,2026-03-04,QuickMart,Stripe,Wallet,8372.13,SUCCESS,,98.14,8273.99,2026-03-04,RECONCILED
76,2026-02-21,MediPlus,PayU,Wallet,10407.63,SUCCESS,,138.44,10269.19,2026-02-22,RECONCILED
77,2026-02-12,FoodHub,PayU,NetBanking,5341.98,SUCCESS,,45.18,5296.8,2026-02-14,RECONCILED
78,2026-03-10,MediPlus,Cashfree,Card,14268.08,SUCCESS,,229.42,14038.66,2026-03-11,RECONCILED
79,2026-03-18,MediPlus,Cashfree,NetBanking,4316.68,SUCCESS,,36.31,4280.37,2026-03-18,RECONCILED
80,2026-01-17,FoodHub,PayU,Card,4187.24,PENDING,Technical error,61.0,0,,NOT_APPLICABLE
81,2026-01-02,TravelNow,Stripe,NetBanking,8653.56,SUCCESS,,67.2,8586.36,2026-01-02,RECONCILED
82,2026-01-15,FoodHub,Razorpay,UPI,12349.52,SUCCESS,,89.85,12259.67,2026-01-17,RECONCILED
83,2026-02-01,MediPlus,Cashfree,Wallet,1864.93,SUCCESS,,21.93,1843.0,2026-02-02,RECONCILED
84,2026-02-24,QuickMart,Razorpay,Card,4650.17,SUCCESS,,66.88,4583.29,2026-02-25,RECONCILED
85,2026-01-31,FoodHub,Razorpay,Wallet,2689.82,SUCCESS,,31.63,2658.19,2026-02-02,RECONCILED
86,2026-01-30,MediPlus,Stripe,UPI,4392.76,SUCCESS,,67.26,4325.5,2026-01-31,RECONCILED
87,2026-03-26,FoodHub,Razorpay,Card,12078.19,SUCCESS,,177.72,11900.47,2026-03-27,RECONCILED
88,2026-01-08,TravelNow,PayU,Wallet,2572.25,SUCCESS,,17.66,2554.59,2026-01-10,RECONCILED
89,2026-02-04,StyleKart,Razorpay,UPI,7557.04,SUCCESS,,138.61,7418.43,2026-02-06,RECONCILED
90,2026-01-04,TravelNow,Razorpay,NetBanking,1460.77,PENDING,Bank timeout,19.93,0,,NOT_APPLICABLE
91,2026-03-08,FoodHub,Cashfree,Wallet,9807.49,FAILED,Technical error,142.42,0,,NOT_APPLICABLE
92,2026-03-02,TravelNow,Razorpay,Card,5284.62,SUCCESS,,52.57,5232.05,2026-03-04,RECONCILED
93,2026-03-12,FoodHub,PayU,NetBanking,646.79,SUCCESS,,4.36,642.43,2026-03-13,RECONCILED
94,2026-03-26,TravelNow,Razorpay,Card,13053.58,SUCCESS,,166.78,12886.8,2026-03-28,RECONCILED
95,2026-01-07,MediPlus,PayU,Wallet,3133.02,SUCCESS,,57.06,3075.96,2026-01-08,RECONCILED
96,2026-01-31,FoodHub,Razorpay,Wallet,10675.76,SUCCESS,,68.3,10607.46,2026-01-31,RECONCILED
97,2026-03-24,QuickMart,PayU,NetBanking,12498.93,SUCCESS,,140.39,12358.54,2026-03-25,RECONCILED
98,2026-02-28,MediPlus,Cashfree,UPI,8313.85,SUCCESS,,76.02,8237.83,2026-03-01,RECONCILED
99,2026-02-04,StyleKart,PayU,Wallet,12326.19,SUCCESS,,221.61,12104.58,2026-02-05,RECONCILED
100,2026-02-12,TravelNow,Stripe,NetBanking,8323.57,SUCCESS,,150.19,8173.38,2026-02-14,RECONCILED
101,2026-01-30,QuickMart,PayU,Wallet,12854.59,SUCCESS,,200.25,12654.34,2026-01-31,RECONCILED
102,2026-03-05,TravelNow,PayU,UPI,14475.88,SUCCESS,,262.2,14213.68,2026-03-06,RECONCILED
103,2026-01-02,TravelNow,Cashfree,UPI,10864.41,SUCCESS,,130.83,10733.58,2026-01-03,RECONCILED
104,2026-03-25,FoodHub,Stripe,NetBanking,1296.7,SUCCESS,,18.68,1278.02,2026-03-26,RECONCILED
105,2026-03-21,FoodHub,PayU,Card,1119.47,SUCCESS,,18.14,1101.33,2026-03-22,RECONCILED
106,2026-02-26,StyleKart,Razorpay,UPI,2578.84,SUCCESS,,25.44,2553.4,2026-02-26,RECONCILED
107,2026-02-25,MediPlus,Cashfree,Card,2268.99,SUCCESS,,17.3,2251.69,2026-02-27,RECONCILED
108,2026-03-29,TravelNow,Cashfree,Card,3688.36,FAILED,Invalid credentials,43.96,0,,NOT_APPLICABLE
109,2026-02-02,FoodHub,Stripe,NetBanking,10035.93,FAILED,Bank timeout,152.19,0,,NOT_APPLICABLE
110,2026-02-26,StyleKart,PayU,Wallet,14184.01,PENDING,Technical error,217.79,0,,NOT_APPLICABLE
111,2026-01-26,MediPlus,Razorpay,Card,14990.67,FAILED,Invalid credentials,160.71,0,,NOT_APPLICABLE
112,2026-02-07,FoodHub,Stripe,NetBanking,14891.11,SUCCESS,,76.26,14814.85,2026-02-09,RECONCILED
113,2026-03-19,QuickMart,PayU,Card,11203.07,FAILED,Invalid credentials,158.03,0,,NOT_APPLICABLE
114,2026-03-23,TravelNow,Cashfree,UPI,2932.97,SUCCESS,,54.41,2878.56,2026-03-25,RECONCILED
115,2026-01-05,QuickMart,Razorpay,NetBanking,8735.65,SUCCESS,,86.49,8649.16,2026-01-06,RECONCILED
116,2026-03-11,StyleKart,PayU,Card,13159.26,SUCCESS,,116.52,13042.74,2026-03-12,RECONCILED
117,2026-02-13,TravelNow,Razorpay,Card,12083.06,SUCCESS,,197.1,11885.96,2026-02-13,RECONCILED
118,2026-03-13,StyleKart,Razorpay,NetBanking,5550.05,SUCCESS,,72.42,5477.63,2026-03-14,RECONCILED
119,2026-03-16,MediPlus,PayU,UPI,5777.28,SUCCESS,,87.37,5689.91,2026-03-17,UNRECONCILED
120,2026-02-11,FoodHub,Razorpay,Wallet,13737.31,SUCCESS,,256.07,13481.24,2026-02-12,RECONCILED
121,2026-01-18,TravelNow,Stripe,UPI,775.67,SUCCESS,,5.01,770.66,2026-01-20,RECONCILED
122,2026-02-17,TravelNow,Stripe,Card,10090.24,SUCCESS,,184.46,9905.78,2026-02-19,RECONCILED
123,2026-03-20,QuickMart,Razorpay,NetBanking,6180.93,PENDING,Technical error,51.05,0,,NOT_APPLICABLE
124,2026-02-16,TravelNow,PayU,UPI,1580.38,SUCCESS,,17.34,1563.04,2026-02-16,RECONCILED
125,2026-01-12,MediPlus,Razorpay,UPI,9975.25,SUCCESS,,167.6,9807.65,2026-01-12,RECONCILED
126,2026-01-27,QuickMart,Cashfree,Card,1122.29,SUCCESS,,19.3,1102.99,2026-01-27,RECONCILED
127,2026-03-18,FoodHub,Cashfree,Card,142.25,FAILED,Bank timeout,1.86,0,,NOT_APPLICABLE
128,2026-03-26,FoodHub,PayU,Card,13010.07,SUCCESS,,179.97,12830.1,2026-03-26,RECONCILED
129,2026-01-17,FoodHub,Razorpay,Wallet,11151.6,SUCCESS,,130.74,11020.86,2026-01-18,RECONCILED
130,2026-02-27,FoodHub,Razorpay,NetBanking,7607.2,FAILED,Insufficient funds,90.3,0,,NOT_APPLICABLE
131,2026-03-03,FoodHub,Razorpay,Wallet,12724.75,SUCCESS,,199.6,12525.15,2026-03-04,RECONCILED
132,2026-02-11,TravelNow,PayU,NetBanking,9163.63,SUCCESS,,98.18,9065.45,2026-02-13,RECONCILED
133,2026-03-06,TravelNow,Razorpay,Card,9120.86,SUCCESS,,104.44,9016.42,2026-03-06,RECONCILED
134,2026-02-21,TravelNow,Stripe,NetBanking,6298.25,SUCCESS,,94.33,6203.92,2026-02-22,RECONCILED
135,2026-01-09,MediPlus,Stripe,UPI,1459.25,SUCCESS,,23.59,1435.66,2026-01-10,RECONCILED
136,2026-01-08,TravelNow,PayU,UPI,8838.33,SUCCESS,,98.65,8739.68,2026-01-10,RECONCILED
137,2026-01-07,TravelNow,PayU,UPI,14529.14,SUCCESS,,198.6,14330.54,2026-01-07,RECONCILED
138,2026-01-29,TravelNow,PayU,UPI,12724.4,SUCCESS,,209.18,12515.22,2026-01-31,RECONCILED
139,2026-03-13,StyleKart,Razorpay,NetBanking,14620.74,SUCCESS,,79.45,14541.29,2026-03-14,RECONCILED
140,2026-02-13,FoodHub,Cashfree,Wallet,5330.25,SUCCESS,,32.21,5298.04,2026-02-15,RECONCILED
141,2026-01-12,StyleKart,Stripe,Wallet,11217.07,SUCCESS,,113.44,11103.63,2026-01-13,RECONCILED
142,2026-03-14,FoodHub,Cashfree,Card,8983.73,FAILED,Insufficient funds,146.58,0,,NOT_APPLICABLE
143,2026-02-04,TravelNow,Stripe,Wallet,6702.38,SUCCESS,,60.97,6641.41,2026-02-06,RECONCILED
144,2026-01-15,FoodHub,Stripe,NetBanking,4320.37,SUCCESS,,24.55,4295.82,2026-01-16,RECONCILED
145,2026-01-01,FoodHub,Cashfree,NetBanking,3145.9,FAILED,Insufficient funds,29.39,0,,NOT_APPLICABLE
146,2026-03-05,FoodHub,Stripe,Card,11230.51,SUCCESS,,140.43,11090.08,2026-03-07,RECONCILED
147,2026-02-20,MediPlus,Razorpay,Wallet,12940.29,SUCCESS,,243.5,12696.79,2026-02-21,RECONCILED
148,2026-02-21,MediPlus,Razorpay,Wallet,10671.53,SUCCESS,,56.7,10614.83,2026-02-22,RECONCILED
149,2026-02-28,TravelNow,Razorpay,Wallet,12497.19,FAILED,Bank timeout,220.79,0,,NOT_APPLICABLE
150,2026-03-17,FoodHub,PayU,NetBanking,6066.7,SUCCESS,,50.5,6016.2,2026-03-17,RECONCILED
151,2026-03-09,QuickMart,PayU,NetBanking,7698.29,FAILED,Bank timeout,122.49,0,,NOT_APPLICABLE
152,2026-01-14,MediPlus,Cashfree,UPI,2282.02,SUCCESS,,17.47,2264.55,2026-01-16,RECONCILED
153,2026-03-16,TravelNow,PayU,NetBanking,6788.69,FAILED,Insufficient funds,49.32,0,,NOT_APPLICABLE
154,2026-02-26,FoodHub,Razorpay,NetBanking,9507.64,SUCCESS,,119.89,9387.75,2026-02-27,RECONCILED
155,2026-01-08,FoodHub,Razorpay,Wallet,5594.19,SUCCESS,,66.8,5527.39,2026-01-10,RECONCILED
156,2026-02-27,FoodHub,Cashfree,NetBanking,13644.84,SUCCESS,,192.05,13452.79,2026-03-01,RECONCILED
157,2026-02-27,FoodHub,PayU,UPI,1642.18,FAILED,Bank timeout,20.64,0,,NOT_APPLICABLE
158,2026-02-01,TravelNow,Cashfree,NetBanking,10643.56,PENDING,Invalid credentials,112.74,0,,NOT_APPLICABLE
159,2026-02-22,TravelNow,Razorpay,NetBanking,11639.53,SUCCESS,,69.71,11569.82,2026-02-22,RECONCILED
160,2026-02-06,StyleKart,Cashfree,NetBanking,3854.74,FAILED,Bank timeout,23.99,0,,NOT_APPLICABLE
161,2026-02-09,TravelNow,Stripe,Card,14518.68,SUCCESS,,202.18,14316.5,2026-02-09,RECONCILED
162,2026-03-24,QuickMart,Razorpay,Wallet,11895.76,SUCCESS,,150.21,11745.55,2026-03-24,RECONCILED
163,2026-01-28,FoodHub,Cashfree,Card,5191.81,SUCCESS,,103.83,5087.98,2026-01-28,RECONCILED
164,2026-03-06,QuickMart,Razorpay,NetBanking,11586.03,FAILED,Limit exceeded,210.24,0,,NOT_APPLICABLE
165,2026-03-18,QuickMart,Cashfree,Wallet,5713.13,SUCCESS,,32.31,5680.82,2026-03-19,RECONCILED
166,2026-02-26,TravelNow,Stripe,Card,9197.87,SUCCESS,,119.67,9078.2,2026-02-27,RECONCILED
167,2026-01-25,MediPlus,Stripe,Wallet,5580.83,FAILED,Technical error,92.32,0,,NOT_APPLICABLE
168,2026-03-09,StyleKart,Cashfree,Card,6338.05,SUCCESS,,114.69,6223.36,2026-03-09,RECONCILED
169,2026-03-12,MediPlus,Razorpay,NetBanking,14020.97,SUCCESS,,87.75,13933.22,2026-03-12,RECONCILED
170,2026-01-19,TravelNow,Cashfree,Wallet,12482.6,SUCCESS,,228.05,12254.55,2026-01-19,RECONCILED
171,2026-03-06,StyleKart,Razorpay,NetBanking,5672.03,SUCCESS,,47.46,5624.57,2026-03-07,RECONCILED
172,2026-01-19,FoodHub,Stripe,Card,2150.23,SUCCESS,,35.23,2115.0,2026-01-20,RECONCILED
173,2026-01-11,FoodHub,Cashfree,Wallet,383.16,SUCCESS,,2.55,380.61,2026-01-12,RECONCILED
174,2026-01-07,FoodHub,Stripe,UPI,3652.75,SUCCESS,,24.34,3628.41,2026-01-08,RECONCILED
175,2026-03-22,MediPlus,Cashfree,NetBanking,7779.1,SUCCESS,,88.98,7690.12,2026-03-24,RECONCILED
176,2026-02-23,MediPlus,PayU,UPI,2890.98,SUCCESS,,55.8,2835.18,2026-02-25,RECONCILED
177,2026-03-12,FoodHub,Razorpay,Wallet,402.98,FAILED,Invalid credentials,7.94,0,,NOT_APPLICABLE
178,2026-02-15,QuickMart,Razorpay,NetBanking,11848.95,SUCCESS,,82.96,11765.99,2026-02-16,RECONCILED
179,2026-03-29,QuickMart,Cashfree,Card,7022.88,SUCCESS,,41.76,6981.12,2026-03-30,RECONCILED
180,2026-01-06,TravelNow,PayU,NetBanking,11887.53,FAILED,Limit exceeded,151.34,0,,NOT_APPLICABLE
181,2026-02-02,StyleKart,PayU,NetBanking,645.65,SUCCESS,,11.58,634.07,2026-02-02,RECONCILED
182,2026-02-04,QuickMart,Stripe,Wallet,1954.68,SUCCESS,,36.0,1918.68,2026-02-05,RECONCILED
183,2026-03-05,QuickMart,PayU,UPI,10411.82,SUCCESS,,165.61,10246.21,2026-03-05,RECONCILED
184,2026-03-11,QuickMart,PayU,NetBanking,4477.12,SUCCESS,,42.97,4434.15,2026-03-13,RECONCILED
185,2026-03-30,TravelNow,PayU,Wallet,6714.23,SUCCESS,,61.22,6653.01,2026-03-30,RECONCILED
186,2026-02-16,TravelNow,Cashfree,UPI,7744.98,SUCCESS,,55.31,7689.67,2026-02-18,RECONCILED
187,2026-01-05,QuickMart,PayU,NetBanking,1980.83,SUCCESS,,21.28,1959.55,2026-01-07,UNRECONCILED
188,2026-03-28,StyleKart,Stripe,UPI,6803.85,SUCCESS,,92.59,6711.26,2026-03-30,RECONCILED
189,2026-03-25,MediPlus,Razorpay,Card,4252.48,PENDING,Technical error,53.1,0,,NOT_APPLICABLE
190,2026-01-16,TravelNow,Stripe,Card,4000.47,SUCCESS,,79.79,3920.68,2026-01-17,RECONCILED
191,2026-01-26,FoodHub,Stripe,Card,1927.3,FAILED,Technical error,35.62,0,,NOT_APPLICABLE
192,2026-03-29,StyleKart,PayU,UPI,14516.66,PENDING,Invalid credentials,192.35,0,,NOT_APPLICABLE
193,2026-01-21,QuickMart,Cashfree,NetBanking,10705.96,FAILED,Insufficient funds,135.23,0,,NOT_APPLICABLE
194,2026-01-18,FoodHub,PayU,NetBanking,3627.37,SUCCESS,,43.57,3583.8,2026-01-20,RECONCILED
195,2026-01-09,FoodHub,Stripe,Wallet,4708.43,PENDING,Limit exceeded,77.87,0,,NOT_APPLICABLE
196,2026-01-17,MediPlus,Stripe,Wallet,14588.46,SUCCESS,,221.77,14366.69,2026-01-18,RECONCILED
197,2026-03-23,MediPlus,Cashfree,Wallet,8858.01,SUCCESS,,111.11,8746.9,2026-03-23,RECONCILED
198,2026-01-20,FoodHub,Cashfree,NetBanking,4631.46,SUCCESS,,88.98,4542.48,2026-01-22,RECONCILED
199,2026-02-02,MediPlus,PayU,Card,3024.9,PENDING,Limit exceeded,43.48,0,,NOT_APPLICABLE
200,2026-01-12,StyleKart,Cashfree,Card,7588.34,SUCCESS,,112.92,7475.42,2026-01-14,RECONCILED
201,2026-03-14,StyleKart,Razorpay,UPI,713.8,FAILED,Limit exceeded,13.73,0,,NOT_APPLICABLE
202,2026-03-25,StyleKart,Razorpay,Wallet,3241.04,SUCCESS,,59.42,3181.62,2026-03-27,RECONCILED
203,2026-03-03,TravelNow,Stripe,NetBanking,3748.68,SUCCESS,,44.25,3704.43,2026-03-05,RECONCILED
204,2026-02-23,StyleKart,Cashfree,NetBanking,7315.34,SUCCESS,,131.11,7184.23,2026-02-24,RECONCILED
205,2026-02-21,QuickMart,Razorpay,NetBanking,2048.42,SUCCESS,,17.67,2030.75,2026-02-21,RECONCILED
206,2026-01-19,MediPlus,Stripe,Wallet,1542.49,SUCCESS,,13.46,1529.03,2026-01-19,RECONCILED
207,2026-02-10,TravelNow,Stripe,Wallet,2928.53,SUCCESS,,53.26,2875.27,2026-02-11,UNRECONCILED
208,2026-03-06,TravelNow,PayU,UPI,6912.74,SUCCESS,,39.8,6872.94,2026-03-07,RECONCILED
209,2026-02-06,TravelNow,Stripe,Card,8096.69,FAILED,Invalid credentials,147.66,0,,NOT_APPLICABLE
210,2026-02-16,TravelNow,Cashfree,NetBanking,774.11,SUCCESS,,10.29,763.82,2026-02-16,RECONCILED
211,2026-03-12,StyleKart,Razorpay,Card,4267.84,PENDING,Technical error,83.76,0,,NOT_APPLICABLE
212,2026-02-13,FoodHub,Cashfree,Card,8411.69,SUCCESS,,118.07,8293.62,2026-02-14,RECONCILED
213,2026-01-05,MediPlus,Stripe,Wallet,2141.84,SUCCESS,,15.49,2126.35,2026-01-07,RECONCILED
214,2026-02-10,MediPlus,PayU,NetBanking,2521.28,PENDING,Limit exceeded,31.79,0,,NOT_APPLICABLE
215,2026-03-04,MediPlus,Razorpay,NetBanking,10660.22,SUCCESS,,106.27,10553.95,2026-03-04,RECONCILED
216,2026-02-09,MediPlus,Razorpay,Wallet,11971.65,SUCCESS,,107.54,11864.11,2026-02-11,RECONCILED
217,2026-03-15,TravelNow,Stripe,Card,3490.39,SUCCESS,,44.9,3445.49,2026-03-17,RECONCILED
218,2026-01-19,TravelNow,Razorpay,Card,12342.75,SUCCESS,,65.22,12277.53,2026-01-20,RECONCILED
219,2026-03-30,StyleKart,Stripe,UPI,3137.99,SUCCESS,,48.91,3089.08,2026-04-01,RECONCILED
220,2026-03-26,StyleKart,Cashfree,Wallet,7227.73,SUCCESS,,135.03,7092.7,2026-03-27,RECONCILED
221,2026-03-20,StyleKart,PayU,NetBanking,7314.28,PENDING,Invalid credentials,61.24,0,,NOT_APPLICABLE
222,2026-01-27,FoodHub,Stripe,NetBanking,10384.57,SUCCESS,,139.23,10245.34,2026-01-29,RECONCILED
223,2026-03-15,StyleKart,Stripe,NetBanking,10181.67,SUCCESS,,196.7,9984.97,2026-03-15,RECONCILED
224,2026-01-11,MediPlus,PayU,Wallet,5260.82,SUCCESS,,43.19,5217.63,2026-01-13,RECONCILED
225,2026-03-31,QuickMart,Cashfree,Card,4147.16,SUCCESS,,23.89,4123.27,2026-04-02,RECONCILED
226,2026-01-07,MediPlus,Stripe,UPI,1592.95,SUCCESS,,24.24,1568.71,2026-01-07,UNRECONCILED
227,2026-01-21,StyleKart,Stripe,Wallet,6162.92,FAILED,Invalid credentials,90.95,0,,NOT_APPLICABLE
